#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         304     1.77641     1.97136   0.0266956
         305       1.773     1.97071    0.026616
         306     1.76952     1.97006   0.0265371
         307     1.76599     1.96939    0.026459
         308     1.76241     1.96872   0.0263816
         309      1.7588     1.96804    0.026305
         310     1.75516     1.96735   0.0262291
         311      1.7515     1.96666    0.026154
         312     1.74783     1.96596   0.0260795
         313     1.74416     1.96525   0.0260058
         314     1.74049     1.96453   0.0259329
         315     1.73682     1.96381   0.0258606
         316     1.73315     1.96308   0.0257891
         317      1.7295     1.96234   0.0257182
         318     1.72585      1.9616   0.0256481
         319      1.7222     1.96085   0.0255787
         320     1.71855     1.96009     0.02551
         321      1.7149     1.95933   0.0254419
         322     1.71124     1.95856   0.0253746
         323     1.70757     1.95778   0.0253079
         324     1.70388       1.957   0.0252419
         325     1.70018     1.95621   0.0251766
         326     1.69646     1.95541    0.025112
         327     1.69273     1.95461   0.0250481
         328     1.68898      1.9538   0.0249848
         329     1.68522     1.95298   0.0249222
         330     1.68145     1.95216   0.0248602
         331     1.67769     1.95133    0.024799
         332     1.67395     1.95049   0.0247383
         333     1.67023     1.94965   0.0246784
         334     1.66655      1.9488    0.024619
         335     1.66294     1.94795   0.0245603
         336     1.65941     1.94709   0.0245022
         337     1.65597     1.94623   0.0244447
         338     1.65266     1.94536   0.0243878
         339     1.64949     1.94449   0.0243315
         340     1.64649     1.94361   0.0242757
         341     1.64367     1.94273   0.0242205
         342     1.64106     1.94185   0.0241657
         343     1.63867     1.94097   0.0241114
         344     1.63654     1.94008   0.0240576
         345     1.63466     1.93919   0.0240041
         346     1.63305     1.93831    0.023951
         347     1.63173     1.93743   0.0238983
         348     1.63071     1.93655   0.0238459
         349     1.62999     1.93567   0.0237937
         350     1.62958     1.93479   0.0237418
         351     1.62947     1.93392   0.0236901
         352     1.62968     1.93306   0.0236386
         353     1.63019      1.9322   0.0235872
         354     1.63101     1.93135   0.0235359
         355     1.63213     1.93051   0.0234847
         356     1.63353     1.92967   0.0234335
         357     1.63522     1.92885   0.0233824
         358     1.63716     1.92803   0.0233312
         359     1.63936     1.92723   0.0232801
         360      1.6418     1.92644   0.0232289
         361     1.64445     1.92565   0.0231777
         362     1.64731     1.92489   0.0231264
         363     1.65035     1.92413   0.0230751
         364     1.65356     1.92339   0.0230237
         365     1.65691     1.92266   0.0229722
         366     1.66038     1.92194   0.0229206
         367     1.66396     1.92124   0.0228689
         368     1.66761     1.92055   0.0228171
         369     1.67133     1.91987   0.0227653
         370     1.67509     1.91921   0.0227134
         371     1.67887     1.91856   0.0226614
         372     1.68265     1.91793   0.0226094
         373     1.68642     1.91731   0.0225573
         374     1.69017      1.9167   0.0225051
         375     1.69386     1.91611   0.0224529
