#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         569       -0.28   -0.451951  0.00543497
         570       -0.52    -0.45207  0.00542674
         571       -0.36   -0.451909  0.00541963
         572       -0.44   -0.451888   0.0054102
         573       -0.52   -0.452007  0.00540206
         574       -0.52   -0.452125  0.00539395
         575       -0.44   -0.452104  0.00538461
         576       -0.44   -0.452083   0.0053753
         577        -0.6    -0.45234   0.0053721
         578       -0.68   -0.452734  0.00537722
         579        -0.6   -0.452988  0.00537395
         580        -0.6   -0.453241  0.00537066
         581       -0.44   -0.453219  0.00536146
         582       -0.28   -0.452921   0.0053605
         583        -0.6   -0.453173  0.00535724
         584       -0.36   -0.453014  0.00535044
         585       -0.04   -0.452308  0.00538768
         586       -0.28   -0.452014   0.0053865
         587       -0.52   -0.452129  0.00537857
         588       -0.68   -0.452517  0.00538336
         589       -0.52   -0.452632  0.00537544
         590       -0.68   -0.453017  0.00538013
         591       -0.44   -0.452995  0.00537107
         592       -0.44   -0.452973  0.00536204
         593        -0.6   -0.453221  0.00535873
         594       -0.44   -0.453199  0.00534975
         595       -0.52   -0.453311  0.00534194
         596       -0.36   -0.453154  0.00533527
         597        -0.2    -0.45273  0.00534316
         598       -0.44   -0.452709  0.00533427
         599        -0.2   -0.452287  0.00534202
         600       -0.28      -0.452  0.00534083
         601       -0.28   -0.451714   0.0053396
         602       -0.28   -0.451429  0.00533835
         603       -0.52   -0.451542  0.00533071
         604       -0.52   -0.451656  0.00532308
         605       -0.52   -0.451769  0.00531548
         606       -0.44   -0.451749  0.00530675
         607        -0.6   -0.451993  0.00530362
         608       -0.52   -0.452105  0.00529608
         609       -0.44   -0.452085  0.00528742
         610       -0.36   -0.451934  0.00528091
         611       -0.44   -0.451915   0.0052723
         612       -0.52   -0.452026  0.00526486
         613       -0.52   -0.452137  0.00525744
         614       -0.52   -0.452248  0.00525004
         615       -0.36   -0.452098  0.00524364
         616       -0.36   -0.451948  0.00523726
         617       -0.28   -0.451669  0.00523618
         618       -0.44    -0.45165  0.00522774
         619       -0.52   -0.451761  0.00522046
         620       -0.12   -0.451226   0.0052394
         621       -0.44   -0.451208  0.00523099
         622       -0.52   -0.451318  0.00522375
         623       -0.36   -0.451172  0.00521742
         624        -0.2   -0.450769  0.00522456
         625       -0.36   -0.450624  0.00521822
         626       -0.28   -0.450351    0.005217
         627       -0.36   -0.450207  0.00521067
         628       -0.28   -0.449936  0.00520942
         629       -0.36   -0.449793   0.0052031
         630       -0.44   -0.449778  0.00519486
         631       -0.28   -0.449509  0.00519359
         632        -0.6   -0.449747  0.00519083
         633       -0.52   -0.449858  0.00518381
         634       -0.44   -0.449842  0.00517566
         635        -0.6   -0.450079  0.00517291
         636        -0.6   -0.450314  0.00517014
         637       -0.52   -0.450424  0.00516319
         638       -0.44   -0.450408  0.00515512
         639       -0.44   -0.450391  0.00514708
         640       -0.44   -0.450375  0.00513906
         641       -0.52   -0.450484  0.00513219
         642       -0.68   -0.450841  0.00513663
         643       -0.36     -0.4507  0.00513059
         644       -0.36   -0.450559  0.00512455
         645       -0.52   -0.450667  0.00511774
         646       -0.52   -0.450774  0.00511094
         647       -0.44   -0.450757  0.00510307
         648       -0.44   -0.450741  0.00509522
         649       -0.52   -0.450847  0.00508849
         650       -0.68     -0.4512  0.00509286
         651        -0.6   -0.451429  0.00509016
         652       -0.52   -0.451534  0.00508344
         653       -0.68   -0.451884  0.00508768
         654       -0.44   -0.451865  0.00507993
         655       -0.28   -0.451603  0.00507895
         656       -0.28   -0.451341  0.00507794
         657       -0.52   -0.451446  0.00507129
         658       -0.52    -0.45155  0.00506465
         659       -0.36   -0.451411  0.00505887
         660        -0.6   -0.451636  0.00505621
         661       -0.36   -0.451498  0.00505046
         662       -0.44    -0.45148  0.00504286
         663       -0.36   -0.451342  0.00503714
         664       -0.44   -0.451325  0.00502959
         665       -0.28   -0.451068  0.00502862
         666       -0.44   -0.451051  0.00502109
         667       -0.44   -0.451034  0.00501359
         668       -0.52   -0.451138  0.00500715
         669        -0.6    -0.45136  0.00500461
         670       -0.52   -0.451463  0.00499819
         671       -0.28   -0.451207  0.00499727
         672       -0.36   -0.451071  0.00499167
         673       -0.52   -0.451174  0.00498531
         674       -0.52   -0.451276  0.00497896
         675       -0.52   -0.451378  0.00497262
         676       -0.44   -0.451361  0.00496529
         677       -0.68   -0.451699  0.00496943
         678        -0.6   -0.451917  0.00496691
