       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
          10     3.98547           0           0           0
          10     4.12531           0           0           0
          11   0.0699206   0.0123487   0.0114638  0.00100583
          11    0.209762   0.0845867   0.0846469  0.00338468
          11    0.349603    0.200393    0.206201  0.00468866
          11    0.489444    0.391416    0.373707  0.00655078
          11    0.629285    0.557743    0.531164  0.00684355
          11    0.769126    0.668616    0.669046   0.0087318
          11    0.908968    0.725261    0.747475  0.00561159
          11     1.04881    0.768365    0.776909   0.0060707
          11     1.18865    0.772139    0.753317  0.00764482
          11     1.32849    0.663981    0.697539  0.00956178
          11     1.46833    0.614288    0.599493  0.00550318
          11     1.60817    0.500899    0.496421  0.00578453
          11     1.74801    0.384298    0.387401  0.00667927
          11     1.88786    0.274584    0.286274  0.00682729
          11      2.0277    0.206848    0.199652  0.00564646
          11     2.16754    0.134048    0.131387  0.00272286
          11     2.30738   0.0815078   0.0844091   0.0020993
          11     2.44722   0.0477062   0.0463338  0.00184349
          11     2.58706   0.0235055   0.0287514  0.00216823
          11      2.7269   0.0171491   0.0184071  0.00144498
          11     2.86674  0.00615778  0.00980249  0.00165581
          11     3.00659  0.00427072  0.00545954 0.000909223
          11     3.14643  0.00211881  0.00269365 0.000588823
          11     3.28627  0.00148979  0.00134833 0.000451933
          11     3.42611 0.000827658 0.000556788 0.000202871
          11     3.56595 0.000728339 0.000418344 0.000283173
          11     3.70579 0.000860765 0.000252812 0.000175455
          11     3.84563    0.003112 0.000282909 0.000269743
          11     3.98547  0.00172153 0.000156503 0.000149219
          11     4.12531           0           0           0
          12   0.0699206  0.00946841   0.0112975 0.000935658
          12    0.209762   0.0716752   0.0835659  0.00327069
          12    0.349603    0.197711    0.205494  0.00435099
          12    0.489444    0.366918    0.373142  0.00602927
          12    0.629285    0.549797    0.532717    0.006447
          12    0.769126    0.698279    0.671482  0.00833704
          12    0.908968    0.756579    0.748234    0.005195
          12     1.04881    0.765948    0.775996  0.00563311
          12     1.18865    0.779257    0.755478  0.00730699
          12     1.32849    0.659379    0.694359  0.00927869
          12     1.46833    0.602469    0.599741  0.00505016
          12     1.60817    0.480009    0.495053  0.00546177
          12     1.74801    0.374333    0.386312   0.0062108
          12     1.88786    0.274154    0.285264  0.00633261
          12      2.0277    0.213933    0.200842  0.00529985
          12     2.16754    0.139179    0.132036  0.00257222
          12     2.30738   0.0824679   0.0842474  0.00193058
          12     2.44722   0.0594259   0.0474248  0.00198664
          12     2.58706   0.0359204   0.0293488  0.00206821
          12      2.7269    0.020857   0.0186113  0.00133891
          12     2.86674  0.00721718  0.00958704  0.00153178
          12     3.00659   0.0052308  0.00544048 0.000833654
          12     3.14643 0.000761446  0.00253264 0.000561339
          12     3.28627           0  0.00123597 0.000428012
          12     3.42611           0 0.000510389 0.000191198
          12     3.56595           0 0.000383482 0.000261713
          12     3.70579           0 0.000231744 0.000162093
          12     3.84563           0 0.000259333 0.000248292
          12     3.98547           0 0.000143461 0.000137353
          12     4.12531           0           0           0
          13   0.0699206     0.01556   0.0116254  0.00091934
          13    0.209762   0.0726353   0.0827251   0.0031253
          13    0.349603    0.168114    0.202618  0.00487467
          13    0.489444    0.347583    0.371176  0.00587728
          13    0.629285    0.482095    0.528823  0.00702939
          13    0.769126    0.618625    0.667416  0.00863043
          13    0.908968     0.73016    0.746843  0.00497793
          13     1.04881    0.810675    0.778664  0.00579712
          13     1.18865    0.816568    0.760178   0.0081165
          13     1.32849    0.694174    0.694344  0.00856495
          13     1.46833    0.627928    0.601909  0.00510598
          13     1.60817    0.500005    0.495434   0.0050549
          13     1.74801    0.403632    0.387645  0.00587421
          13     1.88786    0.269552    0.284055   0.0059597
          13      2.0277    0.221581    0.202438  0.00512664
          13     2.16754    0.140139     0.13266  0.00244871
          13     2.30738   0.0825341   0.0841156  0.00178657
          13     2.44722   0.0735954    0.049438   0.0026653
          13     2.58706   0.0334043   0.0296607   0.0019325
          13      2.7269   0.0173808   0.0185166  0.00123926
          13     2.86674  0.00999811  0.00961867  0.00141428
          13     3.00659  0.00893871  0.00570957 0.000811797
          13     3.14643  0.00387344  0.00263577 0.000527549
          13     3.28627  0.00221812  0.00131152 0.000401701
          13     3.42611           0 0.000471129 0.000180476
          13     3.56595           0 0.000353983 0.000243238
          13     3.70579           0 0.000213918 0.000150602
          13     3.84563           0 0.000239384 0.000229993
          13     3.98547           0 0.000132425  0.00012723
          13     4.12531           0           0           0
          14   0.0699206   0.0151627   0.0118781 0.000887714
          14    0.209762    0.082799   0.0827304  0.00290207
          14    0.349603    0.205359    0.202814  0.00453041
          14    0.489444    0.386086    0.372241  0.00555313
          14    0.629285    0.520101      0.5282  0.00655484
          14    0.769126    0.661498    0.666993  0.00802432
          14    0.908968    0.765352    0.748165  0.00479471
          14     1.04881    0.794585    0.779801  0.00549346
          14     1.18865    0.729895    0.758015  0.00781966
          14     1.32849    0.677223    0.693121     0.00804
          14     1.46833    0.607038    0.602275  0.00475439
          14     1.60817    0.486167    0.494772  0.00473698
          14     1.74801    0.411777    0.389368  0.00570192
          14     1.88786    0.299414    0.285152  0.00563408
          14      2.0277    0.210589     0.20302   0.0047934
          14     2.16754     0.13365     0.13273  0.00227482
          14     2.30738   0.0693578   0.0830614  0.00194524
          14     2.44722   0.0455874   0.0491629  0.00248907
          14     2.58706   0.0257236   0.0293795  0.00181481
          14      2.7269   0.0122493    0.018069  0.00122894
          14     2.86674   0.0057274  0.00934072  0.00134029
          14     3.00659  0.00400587  0.00558788 0.000762878
          14     3.14643  0.00162221  0.00256338 0.000494809
          14     3.28627           0  0.00121784 0.000383776
          14     3.42611           0 0.000437477 0.000170693
          14     3.56595           0 0.000328699 0.000227174
          14     3.70579           0 0.000198638 0.000140617
          14     3.84563           0 0.000222285   0.0002142
          14     3.98547           0 0.000122966 0.000118493
          14     4.12531           0           0           0
          15   0.0699206   0.0118852   0.0118786 0.000828533
          15    0.209762   0.0795214   0.0825164  0.00271647
          15    0.349603    0.184932    0.201622  0.00438243
          15    0.489444    0.318814    0.368679  0.00622119
          15    0.629285    0.501528    0.526422  0.00635445
          15    0.769126    0.642131    0.665336  0.00765864
          15    0.908968    0.745422    0.747983  0.00447855
          15     1.04881    0.837061    0.783618  0.00631577
          15     1.18865    0.855998    0.764547  0.00964836
          15     1.32849    0.709038    0.694183  0.00757371
          15     1.46833    0.557875    0.599315  0.00527906
          15     1.60817    0.487292    0.494273  0.00444735
          15     1.74801    0.378472    0.388642  0.00536787
          15     1.88786    0.302294    0.286295  0.00537312
          15      2.0277    0.216681    0.203931  0.00455954
          15     2.16754    0.137722    0.133063  0.00214737
          15     2.30738   0.0941213   0.0837988   0.0019503
          15     2.44722   0.0418464   0.0486751  0.00237044
          15     2.58706   0.0282066   0.0293013  0.00169551
          15      2.7269  0.00966705   0.0175088  0.00126825
          15     2.86674  0.00549565  0.00908438  0.00127522
          15     3.00659  0.00254919   0.0053853 0.000738427
          15     3.14643  0.00195327   0.0025227 0.000463491
          15     3.28627 0.000463489  0.00116755 0.000361471
          15     3.42611           0 0.000408312 0.000161786
          15     3.56595           0 0.000306785 0.000213083
          15     3.70579           0 0.000185396 0.000131865
          15     3.84563           0 0.000207466 0.000200432
          15     3.98547           0 0.000114769 0.000110877
          15     4.12531           0           0           0
          16   0.0699206    0.013706   0.0119928 0.000784583
          16    0.209762   0.0878642   0.0828507  0.00256717
          16    0.349603    0.221382    0.202857  0.00427901
          16    0.489444    0.352616    0.367675  0.00591281
          16    0.629285    0.468753    0.522817  0.00690424
