       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           4      1.5518    0.660309     0.67536  0.00625779
           4     1.57745    0.650266    0.669454  0.00696038
           4      1.6031    0.655858    0.673916    0.010984
           4     1.62875     0.68158    0.677578  0.00212784
           4      1.6544     0.67745    0.692929  0.00797095
           4     1.68005    0.703611    0.720161  0.00741693
           4      1.7057    0.753383    0.751403  0.00449976
           4     1.73135    0.779122    0.775604  0.00354065
           4       1.757    0.811326    0.809642  0.00277179
           4     1.78265    0.857643    0.843244   0.0054818
           4      1.8083    0.907006    0.897334  0.00710921
           4     1.83395    0.943372    0.940562  0.00242116
           4      1.8596    0.995962     0.97589   0.0062606
           4     1.88525     1.02318     1.01675  0.00433081
           4      1.9109     1.07692      1.0616  0.00607453
           4     1.93655     1.10436     1.09413  0.00425876
           4      1.9622     1.12335     1.12172   0.0037543
           4     1.98785      1.1611     1.15714  0.00450032
           4      2.0135     1.18689     1.18249  0.00158716
           4     2.03915     1.19835     1.20889  0.00431274
           4      2.0648      1.2059     1.22146  0.00475361
           4     2.09045     1.23234     1.23175  0.00362343
           4      2.1161     1.20066      1.2133  0.00455729
           4     2.14174      1.1963     1.20072  0.00615546
           4     2.16739     1.18466     1.18198  0.00825934
           4     2.19304     1.15462     1.15724  0.00379907
           4     2.21869     1.13392      1.1305  0.00429168
           4     2.24434     1.09887       1.099  0.00366214
           4     2.26999     1.07747     1.07214  0.00478852
           4     2.29564     1.05284      1.0408  0.00548136
           4     2.32129     1.03014     1.01498   0.0082635
           4     2.34694    0.990994    0.983307  0.00275561
           4     2.37259    0.961709    0.958804  0.00134343
           4     2.39824    0.939113    0.944222  0.00327196
           4     2.42389    0.919272    0.922292  0.00193683
           4     2.44954    0.912545    0.913269  0.00651208
           4     2.47519    0.899722    0.902632  0.00365576
           4     2.50084    0.885592    0.885838  0.00278255
           4     2.52649    0.879753    0.882615  0.00542394
           4     2.55214    0.868993    0.883906  0.00762045
           5   0.0128248           0           0           0
           5   0.0384745           0           0           0
           5   0.0641241           0           0           0
           5   0.0897737           0           0           0
           5    0.115423           0           0           0
           5    0.141073           0           0           0
           5    0.166723           0           0           0
           5    0.192372           0           0           0
           5    0.218022           0           0           0
           5    0.243672           0           0           0
           5    0.269321           0           0           0
           5    0.294971           0           0           0
           5     0.32062           0           0           0
           5     0.34627           0           0           0
           5     0.37192           0           0           0
           5    0.397569           0           0           0
           5    0.423219           0           0           0
           5    0.448869           0           0           0
           5    0.474518           0           0           0
           5    0.500168           0           0           0
           5    0.525818           0           0           0
           5    0.551467           0           0           0
           5    0.577117           0           0           0
           5    0.602767           0           0           0
           5    0.628416           0           0           0
           5    0.654066           0           0           0
           5    0.679715           0           0           0
           5    0.705365           0           0           0
           5    0.731015           0           0           0
           5    0.756664           0           0           0
           5    0.782314           0           0           0
           5    0.807964           0           0           0
           5    0.833613           0           0           0
           5    0.859263 0.000175071 8.55901e-05 4.81538e-05
           5    0.884913  0.00104544  0.00133156 0.000332519
           5    0.910562   0.0201286   0.0235688 0.000820102
           5    0.936212    0.159848     0.16633  0.00295709
           5    0.961861    0.581406    0.572781   0.0037452
           5    0.987511     1.23061     1.21085  0.00638355
           5     1.01316     1.88703     1.85684   0.0162638
           5     1.03881     2.33015      2.3295   0.0144935
           5     1.06446      2.5405     2.54926  0.00518194
           5     1.09011     2.55292     2.55139  0.00991698
           5     1.11576     2.45661     2.39692    0.014408
           5     1.14141     2.22212     2.18753   0.0110403
           5     1.16706     1.99116     1.98389  0.00649293
           5     1.19271     1.76577     1.74608   0.0140317
           5     1.21836     1.52586     1.55144  0.00904986
           5     1.24401     1.36377     1.39498   0.0105525
           5     1.26966     1.22493     1.24798  0.00837888
           5     1.29531     1.12014      1.1342  0.00503497
           5     1.32096     1.01126     1.02955  0.00479094
           5     1.34661    0.919073    0.942702  0.00936665
           5     1.37226    0.854169    0.877059   0.0079375
           5     1.39791    0.804347    0.812215  0.00281313
           5     1.42355    0.766431    0.769272  0.00452749
           5      1.4492    0.710107    0.733216  0.00695435
           5     1.47485    0.681813    0.704743  0.00681822
           5      1.5005    0.673516    0.688418  0.00465234
           5     1.52615    0.677356    0.681948  0.00436114
           5      1.5518    0.670126    0.674313  0.00509303
           5     1.57745    0.670774    0.669718  0.00557331
           5      1.6031     0.68292    0.675717  0.00893361
           5     1.62875    0.688862    0.679835  0.00264058
           5      1.6544    0.702151    0.694774  0.00658666
           5     1.68005    0.727502    0.721629  0.00607715
           5      1.7057    0.765601    0.754243  0.00440561
           5     1.73135    0.806377    0.781759  0.00619077
           5       1.757    0.835995    0.814912  0.00520961
           5     1.78265    0.863315    0.847258  0.00566774
           5      1.8083    0.904516     0.89877  0.00583066
           5     1.83395      0.9598     0.94441   0.0039491
           5      1.8596    0.983377    0.977387  0.00518444
           5     1.88525     1.02814     1.01903  0.00401919
           5      1.9109     1.06755     1.06279  0.00497498
           5     1.93655     1.11095      1.0975  0.00454488
           5      1.9622     1.14089     1.12555  0.00455941
           5     1.98785     1.17833     1.16137  0.00522833
           5      2.0135     1.18785     1.18356  0.00159102
           5     2.03915     1.19839     1.20679  0.00392805
           5      2.0648     1.21557     1.22028  0.00394598
           5     2.09045     1.20096     1.22559  0.00622447
           5      2.1161     1.17789     1.20622  0.00730791
           5     2.14174     1.18584     1.19774   0.0055973
           5     2.16739     1.15591     1.17677  0.00808727
           5     2.19304     1.12699     1.15119  0.00620727
           5     2.21869      1.0886     1.12212  0.00824429
           5     2.24434     1.06554     1.09231  0.00666372
           5     2.26999     1.06573     1.07086  0.00399863
           5     2.29564     1.04032     1.04071  0.00438593
           5     2.32129     1.01094     1.01417  0.00665014
           5     2.34694    0.978307    0.982307  0.00237899
           5     2.37259    0.961382     0.95932  0.00116953
           5     2.39824    0.942267    0.943831  0.00264084
           5     2.42389    0.937187    0.925271  0.00308216
           5     2.44954    0.934232    0.917462  0.00641893
           5     2.47519    0.917688    0.905643   0.0039758
           5     2.50084    0.896537    0.887978   0.0029357
