#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         328       -0.52   -0.472195  0.00660286
         329       -0.36   -0.471854  0.00659159
         330        -0.6   -0.472242  0.00658304
         331       -0.04   -0.470937  0.00669142
         332       -0.52   -0.471084   0.0066729
         333       -0.28   -0.470511  0.00667749
         334       -0.36    -0.47018  0.00666569
         335       -0.36   -0.469851   0.0066539
         336       -0.36   -0.469524  0.00664212
         337       -0.28   -0.468961  0.00664618
         338       -0.52   -0.469112  0.00662823
         339       -0.52   -0.469263  0.00661038
         340        -0.6   -0.469647  0.00660211
         341        -0.6   -0.470029  0.00659381
         342       -0.52   -0.470175  0.00657615
         343       -0.44   -0.470087  0.00655756
         344       -0.36   -0.469767   0.0065463
         345       -0.36   -0.469449  0.00653506
         346       -0.36   -0.469133  0.00652382
         347       -0.68   -0.469741  0.00653326
         348        -0.6   -0.470115   0.0065252
         349       -0.52   -0.470258  0.00650807
         350       -0.36   -0.469943  0.00649709
         351       -0.52   -0.470085  0.00648015
         352       -0.36   -0.469773  0.00646928
         353       -0.28   -0.469235  0.00647325
         354        -0.6   -0.469605   0.0064655
         355       -0.36   -0.469296  0.00645465
         356       -0.52   -0.469438  0.00643809
         357       -0.52    -0.46958  0.00642162
         358       -0.52   -0.469721  0.00640522
         359       -0.36   -0.469415  0.00639467
         360       -0.52   -0.469556  0.00637845
         361       -0.52   -0.469695  0.00636231
         362       -0.52   -0.469834  0.00634625
         363       -0.52   -0.469972  0.00633028
         364        -0.6    -0.47033  0.00632296
         365        -0.6   -0.470685  0.00631561
         366        -0.6   -0.471038  0.00630823
         367        -0.6    -0.47139  0.00630082
         368       -0.52   -0.471522  0.00628508
         369       -0.36    -0.47122  0.00627531
         370        -0.6   -0.471568  0.00626799
         371       -0.52   -0.471698  0.00625246
         372       -0.52   -0.471828    0.006237
         373       -0.52   -0.471957  0.00622161
         374       -0.44   -0.471872  0.00620556
         375       -0.44   -0.471787   0.0061896
         376       -0.52   -0.471915  0.00617447
         377        -0.6   -0.472255  0.00616743
         378       -0.36   -0.471958  0.00615826
         379       -0.28   -0.471451   0.0061628
         380       -0.36   -0.471158  0.00615356
         381       -0.52   -0.471286  0.00613874
         382       -0.44   -0.471204  0.00612322
         383       -0.36   -0.470914  0.00611411
         384       -0.36   -0.470625  0.00610501
         385       -0.28    -0.47013   0.0061092
         386       -0.28   -0.469637  0.00611319
         387       -0.28   -0.469147    0.006117
         388       -0.52   -0.469278  0.00610264
         389       -0.52   -0.469409  0.00608835
         390       -0.52   -0.469538  0.00607412
         391       -0.44   -0.469463  0.00605905
         392        -0.6   -0.469796  0.00605274
         393        -0.6   -0.470127   0.0060464
         394        -0.6   -0.470457  0.00604003
         395       -0.52   -0.470582  0.00602604
         396       -0.76   -0.471313  0.00605498
         397       -0.76    -0.47204  0.00608324
         398        -0.6   -0.472362  0.00607644
         399        -0.6   -0.472682  0.00606963
         400       -0.52     -0.4728  0.00605561
         401       -0.44   -0.472718  0.00604106
         402       -0.36   -0.472438  0.00603254
         403       -0.44   -0.472357   0.0060181
         404       -0.44   -0.472277  0.00600374
         405       -0.52   -0.472395  0.00599007
         406       -0.44   -0.472315  0.00597585
         407       -0.28   -0.471843  0.00597982
         408       -0.44   -0.471765  0.00596567
         409       -0.44   -0.471687  0.00595159
         410       -0.52   -0.471805  0.00593824
         411       -0.52   -0.471922  0.00592495
         412       -0.28   -0.471456  0.00592886
         413        -0.2   -0.470799  0.00595082
         414       -0.36   -0.470531  0.00594246
         415       -0.44   -0.470458   0.0059286
         416       -0.28       -0.47    0.005932
         417       -0.52    -0.47012  0.00591899
         418        -0.6   -0.470431  0.00591297
         419       -0.76   -0.471122  0.00593911
         420       -0.76    -0.47181  0.00596467
         421       -0.44   -0.471734  0.00595098
         422       -0.44   -0.471659  0.00593735
         423       -0.44   -0.471584  0.00592379
         424       -0.36   -0.471321  0.00591566
         425       -0.36   -0.471059  0.00590753
         426       -0.36   -0.470798  0.00589942
         427       -0.44   -0.470726  0.00588604
         428        -0.2   -0.470093  0.00590618
         429        -0.2   -0.469464  0.00592587
         430        -0.2   -0.468837  0.00594513
         431       -0.44    -0.46877  0.00593172
         432       -0.44   -0.468704  0.00591836
         433       -0.28   -0.468268  0.00592071
         434        -0.6   -0.468571  0.00591485
         435       -0.52    -0.46869  0.00590243
         436       -0.52   -0.468807  0.00589007
         437       -0.44   -0.468741  0.00587696
         438        -0.6   -0.469041  0.00587118
