#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         392    0.803275    0.981958   0.0134757
         393     0.80278    0.981502   0.0134491
         394    0.802363    0.981048   0.0134227
         395    0.802024    0.980594   0.0133963
         396    0.801762    0.980143   0.0133701
         397    0.801579    0.979693    0.013344
         398    0.801474    0.979245    0.013318
         399    0.801446      0.9788   0.0132921
         400    0.801496    0.978356   0.0132662
         401    0.801621    0.977916   0.0132404
         402    0.801822    0.977478   0.0132148
         403    0.802097    0.977042   0.0131891
         404    0.802444     0.97661   0.0131636
         405     0.80286    0.976181    0.013138
         406    0.803345    0.975756   0.0131126
         407    0.803895    0.975333   0.0130872
         408    0.804506    0.974915   0.0130618
         409    0.805173      0.9745   0.0130364
         410    0.805892    0.974088   0.0130111
         411    0.806658    0.973681   0.0129858
         412    0.807467    0.973278   0.0129606
         413    0.808312    0.972878   0.0129354
         414    0.809188    0.972483   0.0129102
         415    0.810089    0.972091    0.012885
         416     0.81101    0.971704   0.0128598
         417    0.811942    0.971321   0.0128347
         418     0.81288    0.970942   0.0128096
         419    0.813818    0.970567   0.0127845
         420    0.814749    0.970196   0.0127594
         421    0.815668    0.969829   0.0127344
         422    0.816568    0.969466   0.0127094
         423    0.817443    0.969106   0.0126844
         424    0.818288    0.968751   0.0126595
         425    0.819097    0.968399   0.0126346
         426    0.819867     0.96805   0.0126098
         427    0.820593    0.967705    0.012585
         428     0.82127    0.967362   0.0125602
         429    0.821894    0.967023   0.0125355
         430    0.822462    0.966687   0.0125109
         431    0.822974    0.966354   0.0124863
         432    0.823427    0.966023   0.0124618
         433    0.823823    0.965694   0.0124373
         434     0.82416    0.965368   0.0124129
         435    0.824439    0.965044   0.0123886
         436     0.82466    0.964722   0.0123644
         437    0.824824    0.964402   0.0123402
         438    0.824935    0.964084   0.0123162
         439    0.824994    0.963767   0.0122922
         440    0.825004    0.963452   0.0122683
         441    0.824971    0.963138   0.0122445
         442    0.824899    0.962825   0.0122208
         443     0.82479    0.962513   0.0121972
         444    0.824651    0.962203   0.0121737
         445    0.824487    0.961893   0.0121502
         446    0.824302    0.961585   0.0121269
         447    0.824101    0.961277   0.0121037
         448    0.823888    0.960971   0.0120805
         449    0.823669    0.960665   0.0120575
         450    0.823449     0.96036   0.0120346
         451    0.823232    0.960056   0.0120117
         452    0.823021    0.959753    0.011989
         453     0.82282     0.95945   0.0119663
         454    0.822633    0.959149   0.0119438
         455    0.822463    0.958849   0.0119213
         456    0.822311    0.958549   0.0118989
         457    0.822178    0.958251   0.0118766
         458    0.822067    0.957953   0.0118544
         459    0.821977    0.957657   0.0118323
         460    0.821909    0.957362   0.0118102
         461    0.821863    0.957068   0.0117883
         462    0.821839    0.956775   0.0117664
         463    0.821834    0.956484   0.0117446
         464    0.821846    0.956194   0.0117228
         465    0.821872    0.955905   0.0117012
         466     0.82191    0.955617   0.0116796
         467    0.821956    0.955331   0.0116581
         468    0.822008    0.955046   0.0116367
         469    0.822064    0.954763   0.0116153
         470    0.822118    0.954481    0.011594
         471    0.822168      0.9542   0.0115728
         472    0.822208     0.95392   0.0115517
         473    0.822237    0.953642   0.0115306
         474    0.822251    0.953364   0.0115096
         475    0.822249    0.953088   0.0114887
         476     0.82223    0.952813   0.0114679
         477     0.82219     0.95254   0.0114471
         478    0.822129    0.952267   0.0114264
         479    0.822044    0.951995   0.0114058
         480    0.821936    0.951724   0.0113852
         481    0.821806    0.951454   0.0113648
         482    0.821654    0.951185   0.0113444
         483    0.821482    0.950916   0.0113241
         484    0.821292    0.950648   0.0113038
         485    0.821085    0.950381   0.0112837
         486    0.820863    0.950115   0.0112636
         487    0.820631    0.949849   0.0112436
         488    0.820393    0.949583   0.0112237
         489    0.820152    0.949319   0.0112039
         490    0.819913    0.949055   0.0111841
         491     0.81968    0.948791   0.0111644
         492     0.81946    0.948528   0.0111448
         493    0.819257    0.948266   0.0111253
         494    0.819077    0.948005   0.0111059
         495    0.818928    0.947744   0.0110865
         496    0.818815    0.947484   0.0110672
         497    0.818745    0.947225    0.011048
         498    0.818724    0.946967   0.0110288
         499    0.818759     0.94671   0.0110097
         500    0.818857    0.946454   0.0109906
         501    0.819023      0.9462   0.0109716
         502    0.819263    0.945947   0.0109527
         503    0.819583    0.945696   0.0109338
         504    0.819988    0.945446   0.0109149
         505    0.820484    0.945199   0.0108961
         506    0.821075    0.944954   0.0108774
         507    0.821765    0.944711   0.0108586
         508    0.822555     0.94447   0.0108399
         509    0.823448    0.944232   0.0108212
         510    0.824444    0.943997   0.0108026
         511    0.825546    0.943766   0.0107839
         512    0.826752    0.943537   0.0107653
         513     0.82806    0.943312   0.0107466
         514    0.829468    0.943091    0.010728
         515    0.830972    0.942873   0.0107094
         516    0.832567    0.942659   0.0106908
         517     0.83425    0.942449   0.0106721
         518    0.836012    0.942244   0.0106535
         519     0.83785    0.942043   0.0106349
         520    0.839754    0.941846   0.0106163
         521    0.841713    0.941654   0.0105976
         522    0.843719    0.941466    0.010579
         523     0.84576    0.941283   0.0105603
         524    0.847824    0.941105   0.0105417
         525      0.8499    0.940931    0.010523
         526    0.851978    0.940762   0.0105044
         527    0.854042    0.940597   0.0104857
         528    0.856081    0.940437   0.0104671
         529    0.858082    0.940282   0.0104485
         530    0.860033     0.94013   0.0104299
         531    0.861925    0.939983   0.0104113
         532    0.863742     0.93984   0.0103927
         533    0.865478      0.9397   0.0103741
         534    0.867119    0.939564   0.0103556
         535    0.868657    0.939432   0.0103371
         536    0.870083    0.939302   0.0103186
         537    0.871391    0.939176   0.0103001
         538    0.872573    0.939052   0.0102817
         539    0.873627    0.938931   0.0102634
         540    0.874548    0.938811   0.0102451
         541    0.875334    0.938694   0.0102268
         542    0.875986    0.938578   0.0102086
         543    0.876505    0.938464   0.0101904
         544    0.876895    0.938351   0.0101723
         545    0.877161    0.938239   0.0101543
         546    0.877309    0.938127   0.0101363
         547    0.877343    0.938016   0.0101184
         548    0.877272    0.937905   0.0101005
         549    0.877106    0.937794   0.0100827
         550    0.876854    0.937684    0.010065
         551    0.876527    0.937573   0.0100474
         552    0.876138    0.937461   0.0100298
         553    0.875697     0.93735   0.0100123
         554    0.875216    0.937237  0.00999481
         555    0.874706    0.937125  0.00997743
         556    0.874178    0.937012  0.00996013
         557    0.873644    0.936898   0.0099429
         558    0.873114    0.936783  0.00992574
         559    0.872598    0.936669  0.00990865
         560    0.872104    0.936553  0.00989162
         561    0.871638    0.936438  0.00987467
         562    0.871206    0.936322  0.00985778
         563    0.870814    0.936205  0.00984096
         564    0.870463    0.936089   0.0098242
         565    0.870153    0.935972   0.0098075
         566    0.869885    0.935855  0.00979087
         567    0.869659    0.935738   0.0097743
         568    0.869472    0.935622  0.00975779
         569    0.869321    0.935505  0.00974133
         570    0.869202    0.935389  0.00972494
         571    0.869109    0.935273   0.0097086
         572    0.869038    0.935157  0.00969232
         573    0.868985    0.935042  0.00967609
         574    0.868942    0.934926  0.00965992
         575    0.868903    0.934812   0.0096438
         576    0.868862    0.934697  0.00962774
         577    0.868812    0.934583  0.00961173
         578     0.86875    0.934469  0.00959577
         579    0.868668    0.934355  0.00957987
         580    0.868563    0.934242  0.00956403
         581    0.868429    0.934129  0.00954824
         582    0.868263    0.934016   0.0095325
         583     0.86806    0.933902  0.00951682
         584    0.867818    0.933789   0.0095012
         585    0.867534    0.933676  0.00948563
         586    0.867205    0.933563  0.00947012
         587    0.866832    0.933449  0.00945467
         588    0.866412    0.933335  0.00943928
         589    0.865944     0.93322  0.00942395
         590    0.865428    0.933106  0.00940868
         591    0.864865     0.93299  0.00939347
         592    0.864256    0.932874  0.00937832
         593    0.863603    0.932757  0.00936323
         594    0.862908     0.93264   0.0093482
         595    0.862173    0.932521  0.00933324
         596    0.861402    0.932402  0.00931835
         597    0.860599    0.932282  0.00930351
         598    0.859768     0.93216  0.00928875
         599    0.858913    0.932038  0.00927404
         600     0.85804    0.931915  0.00925941
         601    0.857153     0.93179  0.00924484
         602    0.856258    0.931665  0.00923033
         603    0.855361    0.931538  0.00921589
         604    0.854469    0.931411  0.00920151
         605     0.85359    0.931282   0.0091872
         606     0.85273    0.931152  0.00917296
         607    0.851895    0.931022  0.00915878
         608    0.851092     0.93089  0.00914466
         609    0.850327    0.930758   0.0091306
         610    0.849607    0.930625   0.0091166
         611    0.848937    0.930491  0.00910266
         612    0.848325    0.930357  0.00908877
         613    0.847776    0.930222  0.00907495
         614    0.847296    0.930087  0.00906117
         615     0.84689    0.929952  0.00904745
         616    0.846561    0.929817  0.00903377
         617    0.846315    0.929681  0.00902014
         618    0.846152    0.929546  0.00900656
         619    0.846075    0.929411  0.00899302
         620    0.846087    0.929277  0.00897952
         621    0.846188    0.929143  0.00896606
         622    0.846378     0.92901  0.00895263
         623    0.846659    0.928878  0.00893923
         624    0.847027    0.928747  0.00892587
         625    0.847479    0.928617  0.00891254
         626    0.848015    0.928488  0.00889923
         627     0.84863    0.928361  0.00888595
         628    0.849323    0.928235  0.00887269
         629    0.850088     0.92811  0.00885945
         630    0.850919    0.927988  0.00884624
         631    0.851813    0.927867  0.00883304
         632    0.852763    0.927748  0.00881986
         633    0.853767    0.927631  0.00880671
         634    0.854817    0.927517  0.00879356
         635    0.855909    0.927404  0.00878044
         636    0.857038    0.927293  0.00876733
         637    0.858199    0.927185  0.00875424
         638    0.859387    0.927078  0.00874116
         639    0.860598    0.926974   0.0087281
         640    0.861829    0.926873  0.00871506
